,sample,input,filtered,denoisedF,denoisedR,merged,nonchim,Sample_Date,Sample_Date_No,Bog,Bog_No.,PlantID,LeafID,Leaf_Year,qPCR_raw,qPCR_log10,PCT.Abv.Q30,Mean.Q,Pielou,Obs,Chao1,Shannon,Simpson,InvSimpson,Fischer,LeafYr,Log10.nifH
A10B,A10B,50751,43337,42690,42969,42011,39519,Aug,3 (August),Clearwater_Mid,2 (Clearwater_Mid),Clear_B,Clear_B_2,1,279145,5.445829853,81.05,33.53,0.612105939,151,151,3.071106784,0.910621788,11.18840903,19.88074744,1,4.34
A11A,A11A,44366,37522,36914,37231,36048,34837,Aug,3 (August),Clearwater_Mid,2 (Clearwater_Mid),Clear_A,Clear_A_3,2,481833,5.682896541,81.32,33.59,0.714832239,107,107,3.340288698,0.941876884,17.20485864,13.6375193,2,4.05
A12B,A12B,27209,22349,21921,22115,21493,21260,Aug,3 (August),Clearwater_Mid,2 (Clearwater_Mid),Clear_B,Clear_B_3,2,42054,4.62380731,79.88,33.3,0.682394033,171,171,3.50864053,0.913287873,11.53241235,25.40556543,2,4.24
A13A,A13A,47120,40820,40194,40488,39560,37369,Aug,3 (August),Clearwater_Mid,2 (Clearwater_Mid),Clear_A,Clear_A_4,2,129463,5.112145667,81.88,33.72,0.646418811,179,179,3.353223763,0.928625075,14.01052253,24.40538905,2,4.7
A14B,A14B,41068,35654,35298,35469,34687,33172,Aug,3 (August),Clearwater_Mid,2 (Clearwater_Mid),Clear_B,Clear_B_4,2,19229,4.283956699,81.46,33.65,0.53940307,110,110,2.535453537,0.845279339,6.463260911,14.17882322,2,3.79
A15A,A15A,42649,36644,36143,36403,35506,32277,Aug,3 (August),Clearwater_Mid,2 (Clearwater_Mid),Clear_A,Clear_A_5,2,247022,5.392735634,81.27,33.59,0.504823614,104,104,2.3445982,0.779893546,4.54325614,13.34853571,2,4.34
A16B,A16B,39330,33738,33341,33503,32780,30498,Aug,3 (August),Clearwater_Mid,2 (Clearwater_Mid),Clear_B,Clear_B_5,2,2417096,6.3832939,79.92,33.28,0.531127453,102,102,2.456450031,0.827874975,5.809730454,13.16408364,2,4.79
A17A,A17A,54069,46958,46531,46671,45403,42121,Aug,3 (August),BBSR_North,3 (BBSR_North),BBSR__A,BBSR__A_1,2,89779,4.953174764,82.35,33.84,0.580354049,155,155,2.926972187,0.888345772,8.956221501,20.29176067,2,4.68
A18B,A18B,53207,45030,44510,44715,43111,40461,Aug,3 (August),BBSR_North,3 (BBSR_North),BBSR__B,BBSR__B_1,2,518431,5.714690963,81.1,33.54,0.589901254,153,153,2.96746164,0.897100909,9.718258792,20.11237911,2,4.64
A19A,A19A,60742,50598,49962,50149,48748,45608,Aug,3 (August),BBSR_North,3 (BBSR_North),BBSR__A,BBSR__A_2,2,180683,5.256917293,80.68,33.47,0.654423281,153,153,3.292035689,0.93013786,14.31390443,19.75502921,2,4.63
A1A,A1A,48169,40485,39746,40039,38654,37155,Aug,3 (August),Beckman_South,1 (Beckman_South),Beck_A,Beck_A_1,1,507854,5.705738877,80.8,33.46,0.68333539,246,246,3.761987872,0.942001159,17.24172395,35.35284869,1,5.83
A20B,A20B,47074,40438,39961,40139,39085,39055,Aug,3 (August),BBSR_North,3 (BBSR_North),BBSR__B,BBSR__B_2,2,25973,4.414522116,81.37,33.61,0.775391978,256,256,4.299686105,0.973338796,37.50768299,36.7282195,2,5.11
A21A,A21A,41709,35764,35399,35530,34710,33170,Aug,3 (August),BBSR_North,3 (BBSR_North),BBSR__A,BBSR__A_3,2,1360100,6.133570841,80.93,33.5,0.557221823,107,107,2.603802201,0.829483369,5.864530588,13.73590846,2,4.66
A22B,A22B,59735,50552,49736,50114,48103,46693,Aug,3 (August),BBSR_North,3 (BBSR_North),BBSR__B,BBSR__B_3,2,77882,4.891437096,80.17,33.32,0.598698119,259,259,3.326862511,0.898037328,9.807510757,36.15087561,2,5.16
A23A,A23A,43912,37177,36653,36845,35772,34360,Aug,3 (August),BBSR_North,3 (BBSR_North),BBSR__A,BBSR__A_4,2,2476219,6.393789052,81.22,33.57,0.682513745,143,143,3.387209676,0.927255525,13.74674839,19.0747029,2,5.38
A24B,A24B,30253,25248,24837,25013,24083,23818,Aug,3 (August),BBSR_North,3 (BBSR_North),BBSR__B,BBSR__B_4,2,18957,4.27776961,79.79,33.24,0.605423227,209,209,3.234373242,0.886444709,8.80628277,31.53156243,2,4.9
A2B,A2B,43209,36921,36354,36596,35745,33400,Aug,3 (August),Beckman_South,1 (Beckman_South),Beck_B,Beck_B_1,1,1366884,6.13573166,81.34,33.6,0.67504766,126,126,3.264720783,0.926669578,13.63690495,16.55719201,1,5.96
A3A,A3A,51460,43886,43219,43459,41965,39924,Aug,3 (August),Beckman_South,1 (Beckman_South),Beck_A,Beck_A_3,1,706264,5.84896707,81.34,33.6,0.640305472,181,181,3.328626098,0.936972475,15.86608402,24.46584932,1,5.26
A4B,A4B,33552,29076,28448,28669,27775,26710,Aug,3 (August),Beckman_South,1 (Beckman_South),Beck_B,Beck_B_2,2,97842,4.990525322,81.3,33.6,0.690981172,163,163,3.519685484,0.940139353,16.70546603,23.10935486,2,5.24
A5A,A5A,49207,42497,41823,42054,41064,40873,Aug,3 (August),Beckman_South,1 (Beckman_South),Beck_A,Beck_A_3,2,39561,4.597267261,81.78,33.71,0.738620712,295,295,4.200517788,0.962224125,26.47192165,43.01753482,2,5.57
A6A,A6A,34221,29017,28383,28618,27831,26963,Aug,3 (August),Beckman_South,1 (Beckman_South),Beck_A,Beck_A_4,2,65342,4.815192423,80.73,33.46,0.714072207,168,168,3.658880267,0.946518042,18.69789431,23.90067972,2,5.2
A7A,A7A,55588,47705,46616,47191,45667,42962,Aug,3 (August),Clearwater_Mid,2 (Clearwater_Mid),Clear_A,Clear_A_1,1,14469117,7.160442028,81.86,33.72,0.760319371,232,232,4.141259933,0.968013839,31.26352002,32.2421526,1,6.53
A8B,A8B,45344,38054,37449,37742,36366,35070,Aug,3 (August),Clearwater_Mid,2 (Clearwater_Mid),Clear_B,Clear_B_1,1,618363,5.791243496,80.9,33.49,0.704885269,142,142,3.49328949,0.946686117,18.75684049,18.86163693,1,4.8
A9A,A9A,42946,37441,36705,37006,35737,34993,Aug,3 (August),Clearwater_Mid,2 (Clearwater_Mid),Clear_A,Clear_A_2,1,6254584,6.79619843,82.2,33.8,0.754327044,307,307,4.319916134,0.966594,29.93474204,46.31304232,1,6.23
J10B,J10B,63792,52164,51555,51783,50072,48322,Jul,2 (July),Clearwater_Mid,2 (Clearwater_Mid),Clear_B,Clear_B_2,1,2664300,6.425583125,78.51,32.93,0.691282488,117,117,3.292007444,0.938560567,16.27619183,14.41272025,1,5.25
J11A,J11A,35954,30394,30027,30165,29249,26541,Jul,2 (July),Clearwater_Mid,2 (Clearwater_Mid),Clear_A,Clear_A_3,2,2423360,6.384417935,80.63,33.43,0.646074678,78,78,2.814759254,0.884607568,8.666079603,9.877753008,2,5.68
J12B,J12B,37430,31745,31266,31534,30663,29227,Jul,2 (July),Clearwater_Mid,2 (Clearwater_Mid),Clear_B,Clear_B_3,2,3918197,6.593086268,80.72,33.47,0.641530932,86,86,2.857601571,0.896442114,9.656435049,10.89648723,2,6.13
J13A,J13A,41018,32705,32284,32500,31651,30345,Jul,2 (July),Clearwater_Mid,2 (Clearwater_Mid),Clear_A,Clear_A_4,2,210665,5.323592388,80.18,33.35,0.583929777,149,149,2.921953248,0.878568961,8.235126766,20.39481621,2,6.63
J14B,J14B,23510,17930,17564,17680,17175,16986,Jul,2 (July),Clearwater_Mid,2 (Clearwater_Mid),Clear_B,Clear_B_4,2,196770,5.293958886,79.61,33.23,0.804529196,126,126,3.890929993,0.968031811,31.28109644,18.45982356,2,6.47
J15A,J15A,16042,10099,9731,9893,9444,9357,Jul,2 (July),Clearwater_Mid,2 (Clearwater_Mid),Clear_A,Clear_A_5,2,501755,5.700491709,76.22,32.43,0.753204263,107,107,3.519594597,0.940272701,16.74276289,16.9412747,2,6.51
J16B,J16B,35144,28963,28564,28752,28040,25933,Jul,2 (July),Clearwater_Mid,2 (Clearwater_Mid),Clear_B,Clear_B_5,2,2626695,6.419409647,80.11,33.33,0.651675375,68,68,2.749749266,0.892750386,9.324042863,8.471528289,2,6.07
J17A,J17A,34292,26945,26281,26564,25626,25475,Jul,2 (July),BBSR_North,3 (BBSR_North),BBSR__A,BBSR__A_1,2,528476,5.723025269,79.83,33.28,0.797234614,196,196,4.207895703,0.972856393,36.84108814,28.89631179,2,5.16
J18B,J18B,28526,21464,21187,21251,20568,19757,Jul,2 (July),BBSR_North,3 (BBSR_North),BBSR__B,BBSR__B_1,2,122394,5.087760128,77.23,32.65,0.542756834,103,103,2.515530832,0.816438947,5.447778718,14.2336473,2,6.11
J19A,J19A,27384,19201,18654,18957,18170,18150,Jul,2 (July),BBSR_North,3 (BBSR_North),BBSR__A,BBSR__A_2,2,1310749,6.117519535,77.72,32.78,0.820797929,170,170,4.215452719,0.975084543,40.13572845,25.94708765,2,6.17
J1A,J1A,43407,36078,35242,35556,33712,33433,Jul,2 (July),Beckman_South,1 (Beckman_South),Beck_A,Beck_A_1,1,18413,4.265124553,80.57,33.43,0.687205634,349,349,4.023638414,0.947027705,18.87779273,54.33010461,1,4.86
J20B,J20B,38323,28306,27840,28079,27115,26187,Jul,2 (July),BBSR_North,3 (BBSR_North),BBSR__B,BBSR__B_2,2,507854,5.705738877,78.68,33.01,0.705607022,90,90,3.1750973,0.927247521,13.74523609,11.66242536,2,5.4
J21A,J21A,34466,27259,26732,26927,26237,25843,Jul,2 (July),BBSR_North,3 (BBSR_North),BBSR__A,BBSR__A_3,2,276774,5.44212529,80.23,33.37,0.725558242,192,192,3.814619102,0.945789157,18.44649407,28.13679427,2,5.4
J22B,J22B,53404,43502,42652,43020,41468,40854,Jul,2 (July),BBSR_North,3 (BBSR_North),BBSR__B,BBSR__B_3,2,830513,5.919346435,79.82,33.26,0.750717833,275,275,4.216610225,0.958554062,24.12781698,39.63030564,2,5.14
J23A,J23A,19273,12514,12198,12342,11888,11692,Jul,2 (July),BBSR_North,3 (BBSR_North),BBSR__A,BBSR__A_4,2,21380536,7.330018589,76.44,32.47,0.770793668,78,78,3.358123579,0.94647524,18.68294222,11.2236781,2,5.54
J2B,J2B,36171,31127,30548,30785,30005,28908,Jul,2 (July),Beckman_South,1 (Beckman_South),Beck_B,Beck_B_1,1,231058,5.36372101,81.3,33.61,0.734255784,198,198,3.882940652,0.962768179,26.85874502,28.61749358,1,6.2
J3A,J3A,53965,45772,44893,45303,43884,42437,Jul,2 (July),Beckman_South,1 (Beckman_South),Beck_A,Beck_A_3,1,2022157,6.305814871,81.33,33.61,0.722267928,196,196,3.812212936,0.963179045,27.15844859,26.57050678,1,6.56
J4B,J4B,39204,18673,18451,18454,17632,16532,Jul,2 (July),Beckman_South,1 (Beckman_South),Beck_B,Beck_B_2,2,131130,5.117702061,65.55,29.72,0.607332827,40,40,2.240377586,0.840767312,6.280117571,4.926937646,2,5.3
J5A,J5A,50138,42718,41934,42255,41145,39903,Jul,2 (July),Beckman_South,1 (Beckman_South),Beck_A,Beck_A_3,2,1396980,6.145190189,80.97,33.54,0.716142987,167,167,3.665215379,0.951323554,20.54381686,22.29522628,2,6.3
J6A,J6A,39732,33306,32842,32962,32350,30567,Jul,2 (July),Beckman_South,1 (Beckman_South),Beck_A,Beck_A_4,2,370317,5.568573649,79.7,33.25,0.577654624,138,138,2.846250874,0.860834521,7.185690059,18.64133185,2,5.79
J7A,J7A,61204,52601,51570,52076,50353,49333,Jul,2 (July),Beckman_South,1 (Beckman_South),Beck_A,Beck_A_1,1,3786776,6.578269616,81.36,33.61,0.756945965,330,330,4.389599788,0.975918499,41.52565144,47.50628752,1,7.21
J8B,J8B,36327,30686,29964,30247,28998,28306,Jul,2 (July),Clearwater_Mid,2 (Clearwater_Mid),Clear_B,Clear_B_1,1,64512,4.809640506,80.58,33.45,0.751874854,218,218,4.048466441,0.958737313,24.23497022,32.14534464,1,6.01
J9A,J9A,65940,49412,48762,48999,47393,44780,Jul,2 (July),Clearwater_Mid,2 (Clearwater_Mid),Clear_A,Clear_A_2,1,265596,5.42422153,75.49,32.18,0.663350094,121,121,3.18128811,0.925467141,13.41690115,15.1390462,1,5.64
M10B,M10B,43178,37186,36786,36903,35789,34841,May,1 (May),Clearwater_Mid,2 (Clearwater_Mid),Clear_B,Clear_B_2,1,266663,5.425962761,81.5,33.65,0.585016414,158,158,2.96170119,0.902991462,10.30837096,21.35786627,1,6.29
M11A,M11A,38316,32285,31722,31896,30493,27643,May,1 (May),Clearwater_Mid,2 (Clearwater_Mid),Clear_A,Clear_A_3,2,1449578,6.161241589,79.92,33.27,0.649572425,195,195,3.425195108,0.896899018,9.699228686,28.32485855,2,6.63
M12B,M12B,29608,25142,24519,24730,23209,21396,May,1 (May),Clearwater_Mid,2 (Clearwater_Mid),Clear_B,Clear_B_3,2,206807,5.315565235,80.54,33.43,0.748711231,208,208,3.996274705,0.961739244,26.1364415,31.96097688,2,6.17
M13A,M13A,48711,41093,39513,40098,37557,37077,May,1 (May),Clearwater_Mid,2 (Clearwater_Mid),Clear_A,Clear_A_4,2,933853,5.970278518,81.07,33.54,0.799969432,550,550,5.04774174,0.986211427,72.52382282,91.57403171,2,5.87
M14B,M14B,59907,51345,50238,50738,48356,47260,May,1 (May),Clearwater_Mid,2 (Clearwater_Mid),Clear_B,Clear_B_4,2,640279,5.806369258,81.93,33.74,0.774161393,282,282,4.367746637,0.975530741,40.86760449,39.83294891,2,5.63
M15A,M15A,44851,37856,36280,36678,34597,34497,May,1 (May),Clearwater_Mid,2 (Clearwater_Mid),Clear_A,Clear_A_5,2,228607,5.359089524,81.37,33.62,0.830801881,548,548,5.239265368,0.98991849,99.19148599,92.50429874,2,6.58
M16B,M16B,50512,43259,42320,42673,41469,41021,May,1 (May),Clearwater_Mid,2 (Clearwater_Mid),Clear_B,Clear_B_5,2,1571206,6.196233129,80.96,33.51,0.791685032,301,301,4.518233773,0.977594226,44.63135228,44.01648248,2,5.23
M18A,M18A,34917,29701,29426,29519,28881,26281,May,1 (May),BBSR_North,3 (BBSR_North),BBSR__A,BBSR__A_1,2,119217,5.076338189,82.31,33.82,0.473304279,81,81,2.079911588,0.749684914,3.994964977,10.32893894,2,5.89
M18B,M18B,51531,38804,38442,38617,37159,33728,May,1 (May),BBSR_North,3 (BBSR_North),BBSR__B,BBSR__B_1,2,5082338,6.706063544,81.24,33.52,0.568067983,102,102,2.627298978,0.865700562,7.446047537,12.97089441,2,5.89
M19A,M19A,49031,41755,40660,41092,39032,35619,May,1 (May),BBSR_North,3 (BBSR_North),BBSR__A,BBSR__A_2,2,144,2.158362492,82.12,33.78,0.722129876,175,175,3.729646257,0.955987351,22.72074105,23.95589087,2,5.67
M19B,M19B,32277,27346,26966,27167,26527,22593,May,1 (May),BBSR_North,3 (BBSR_North),BBSR__B,BBSR__B_2,2,406557,5.609121443,81.06,33.55,0.594212116,79,79,2.596378853,0.862386104,7.266708031,10.26338351,2,4.8
M1A,M1A,54835,46564,45931,46175,44981,42940,May,1 (May),Beckman_South,1 (Beckman_South),Beck_A,Beck_A_1,1,269207,5.430086348,81.22,33.56,0.675175636,133,133,3.301844583,0.933134224,14.95533374,16.97495128,1,5.06
M21A,M21A,57062,49494,48848,49121,47614,45197,May,1 (May),BBSR_North,3 (BBSR_North),BBSR__A,BBSR__A_3,2,6057700,6.782307762,82.97,33.96,0.599958985,182,182,3.12219057,0.867240907,7.532440715,24.15441981,2,4.89
M22B,M22B,58085,50105,49469,49736,48249,43393,May,1 (May),BBSR_North,3 (BBSR_North),BBSR__B,BBSR__B_3,2,204469,5.310627473,82.43,33.86,0.588286019,171,171,3.024768783,0.878574135,8.235477703,22.61979893,2,5.58
M23A,M23A,41482,34896,34276,34570,33230,31526,May,1 (May),BBSR_North,3 (BBSR_North),BBSR__A,BBSR__A_4,2,5558497,6.744957376,81.33,33.59,0.661449696,127,127,3.204186074,0.900391766,10.03933066,16.85603497,2,5.29
M24B,M24B,40615,34370,33865,34119,33013,30591,May,1 (May),BBSR_North,3 (BBSR_North),BBSR__B,BBSR__B_4,2,248431,5.395205788,82.18,33.79,0.631868141,151,151,3.170259281,0.874899806,7.993592692,20.68581315,2,5.51
M2B,M2B,64101,55389,54448,54749,53008,43543,May,1 (May),Beckman_South,1 (Beckman_South),Beck_B,Beck_B_1,1,480124,5.681353416,81.3,33.6,0.589266735,138,138,2.903466691,0.907896303,10.85732745,17.66973404,1,6.13
M3A,M3A,27806,23583,23327,23458,22383,22226,May,1 (May),Beckman_South,1 (Beckman_South),Beck_A,Beck_A_3,1,9110,3.959518377,81.2,33.58,0.684897503,105,105,3.187485824,0.92821692,13.9308595,14.2848139,1,6.54
M4B,M4B,50279,43191,42150,42614,40611,36990,May,1 (May),Beckman_South,1 (Beckman_South),Beck_B,Beck_B_2,2,908968,5.958548594,80.49,33.41,0.589994073,268,268,3.298649182,0.897775778,9.782417298,39.10663136,2,5.4
M5A,M5A,36761,31235,30711,30883,29961,27344,May,1 (May),Beckman_South,1 (Beckman_South),Beck_A,Beck_A_3,2,114717546,8.059629848,81.32,33.61,0.675841165,85,85,3.002526599,0.902722174,10.27983497,10.85373053,2,6.39
M6A,M6A,48259,41314,40565,40940,39664,37534,May,1 (May),Beckman_South,1 (Beckman_South),Beck_A,Beck_A_4,2,323390,5.509726586,81.03,33.53,0.615326783,158,158,3.115150315,0.911863682,11.3460606,21.12168142,2,3.44
M7A,M7A,44692,38039,37527,37793,36742,34359,May,1 (May),Clearwater_Mid,2 (Clearwater_Mid),Clear_A,Clear_A_1,1,943622,5.974798058,81.02,33.54,0.678253385,103,103,3.143520624,0.92702963,13.70419252,13.08133653,1,7.32
M8B,M8B,42356,36113,35358,35597,33987,33032,May,1 (May),Clearwater_Mid,2 (Clearwater_Mid),Clear_B,Clear_B_1,1,535281,5.728581828,81.46,33.62,0.736948154,332,332,4.2780835,0.969503502,32.79065041,51.32477654,1,6.27
M9A,M9A,50525,44033,43293,43603,41532,39924,May,1 (May),Clearwater_Mid,2 (Clearwater_Mid),Clear_A,Clear_A_2,1,1100987,6.041782191,81.87,33.72,0.675765117,255,255,3.744592607,0.946027498,18.52795339,36.42682401,1,5.78
S10B,S10B,36813,31654,31224,31397,30310,29932,Sep,4 (September),Clearwater_Mid,2 (Clearwater_Mid),Clear_B,Clear_B_2,1,13945,4.144418519,81.43,33.63,0.669198473,160,160,3.396298566,0.931537205,14.60647346,22.1995522,1,5
S11A,S11A,42232,35403,34716,35079,33467,32717,Sep,4 (September),Clearwater_Mid,2 (Clearwater_Mid),Clear_A,Clear_A_3,2,606610,5.782909565,80.17,33.31,0.704787484,273,273,3.95348551,0.960512436,25.32442872,40.82125066,2,5.49
S12B,S12B,35778,29375,28759,29023,28217,28168,Sep,4 (September),Clearwater_Mid,2 (Clearwater_Mid),Clear_B,Clear_B_3,2,152889,5.18437624,79.13,33.1,0.854690242,306,306,4.891892337,0.987025884,77.07653932,47.9871175,2,5.75
S13A,S13A,38545,32949,32362,32634,31165,27899,Sep,4 (September),Clearwater_Mid,2 (Clearwater_Mid),Clear_A,Clear_A_4,2,442126,5.645546055,80.52,33.41,0.603156218,153,153,3.034139912,0.889279502,9.031751259,21.3161901,2,4.77
S14B,S14B,51514,44745,43620,44106,42129,41850,Sep,4 (September),Clearwater_Mid,2 (Clearwater_Mid),Clear_B,Clear_B_4,2,368050,5.565906822,81.83,33.72,0.811771221,540,540,5.107314764,0.985747914,70.16516887,87.48651396,2,5.58
S16B,S16B,28233,24478,23841,23998,22907,22799,Sep,4 (September),Clearwater_Mid,2 (Clearwater_Mid),Clear_B,Clear_B_2,5,569830,5.75574531,81.46,33.63,0.810719394,398,398,4.853332743,0.980256957,50.65075432,68.49404583,2,5.69
S17A,S17A,47826,40988,40026,40385,39159,38848,Sep,4 (September),Clearwater_Mid,2 (Clearwater_Mid),Clear_A,Clear_A_3,1,545264,5.736606825,80.87,33.49,0.805693334,356,356,4.733392529,0.98164842,54.49122059,54.12538053,1,5.89
S18B,S18B,46618,40856,40312,40560,39676,39084,Sep,4 (September),BBSR_North,3 (BBSR_North),BBSR__B,BBSR__B_3,1,7653566,6.883863832,82.7,33.9,0.749469371,183,183,3.904350309,0.960815983,25.5206096,24.8614796,1,6.59
S19A,S19A,49631,42768,41915,42355,41222,40465,Sep,4 (September),BBSR_North,3 (BBSR_North),BBSR__A,BBSR__A_3,2,93557,4.971076287,81.44,33.61,0.746123005,247,247,4.110681379,0.965843399,29.27691763,35.01987989,2,5.65
S1A,S1A,42666,36105,35345,35635,34042,33552,Sep,4 (September),Beckman_South,1 (Beckman_South),Beck_A,Beck_A_1,1,436196,5.639681679,80.58,33.41,0.806956714,319,319,4.65225967,0.981163434,53.08823206,48.82036696,1,6.19
S20B,S20B,50814,43352,42488,42908,41377,40883,Sep,4 (September),BBSR_North,3 (BBSR_North),BBSR__B,BBSR__B_3,2,572672,5.757905949,81.38,33.6,0.790973783,262,262,4.404414519,0.976129559,41.89281638,37.44762075,2,5.68
S21A,S21A,35464,29713,29205,29464,28574,28280,Sep,4 (September),BBSR_North,3 (BBSR_North),BBSR__A,BBSR__A_3,3,1023525,6.010098455,81.92,33.72,0.729341624,220,220,3.933797075,0.951803137,20.74823834,32.49668117,2,5.95
S22B,S22B,49409,42373,41455,41871,40338,39818,Sep,4 (September),BBSR_North,3 (BBSR_North),BBSR__B,BBSR__B_3,3,255414,5.407244699,80.94,33.5,0.809166841,262,262,4.50571973,0.980846695,52.21031098,37.61306737,2,5.33
S23A,S23A,66499,56757,55466,56004,53904,53499,Sep,4 (September),BBSR_North,3 (BBSR_North),BBSR__A,BBSR__A_3,4,935847,5.971204852,81.35,33.59,0.807670681,444,444,4.923418777,0.986378348,73.41253645,66.32755359,2,6.06
S24B,S24B,42554,36224,35066,35539,33869,33528,Sep,4 (September),BBSR_North,3 (BBSR_North),BBSR__B,BBSR__B_3,4,980097,5.99126906,80.67,33.43,0.828602502,363,363,4.884116939,0.986099315,71.93890235,56.89021296,2,6.31
S2B,S2B,39945,33839,33202,33551,32668,31071,Sep,4 (September),Beckman_South,1 (Beckman_South),Beck_B,Beck_B_1,1,510750,5.708208375,80.8,33.48,0.671753868,191,191,3.528234989,0.934644524,15.30093661,27.11166382,1,5.96
S3A,S3A,37853,31221,30690,30906,30118,29123,Sep,4 (September),Beckman_South,1 (Beckman_South),Beck_A,Beck_A_3,1,139197,5.143629875,79.73,33.24,0.696485695,188,188,3.647106919,0.941613929,17.12737282,26.90344556,1,5.59
S4B,S4B,49660,42525,41698,42078,40673,40076,Sep,4 (September),Beckman_South,1 (Beckman_South),Beck_B,Beck_B_2,2,546817,5.737842008,80.52,33.4,0.799278522,330,330,4.635090209,0.980001554,50.00388478,49.22975692,2,6.39
S5A,S5A,55379,47515,46680,46960,45501,44653,Sep,4 (September),Beckman_South,1 (Beckman_South),Beck_A,Beck_A_3,2,163221,5.212776034,81.64,33.66,0.805241438,353,353,4.723923173,0.982415872,56.86946639,52.28791654,2,6.16
S6A,S6A,45009,37554,36899,37185,36081,35598,Sep,4 (September),Beckman_South,1 (Beckman_South),Beck_A,Beck_A_4,2,371995,5.570537103,80.56,33.41,0.766943113,223,223,4.146993149,0.968639557,31.8873042,31.7530432,2,5.47
S7A,S7A,42851,36691,35957,36305,34842,34240,Sep,4 (September),Clearwater_Mid,2 (Clearwater_Mid),Clear_A,Clear_A_1,1,2451701,6.389467504,81.22,33.56,0.722617204,268,268,4.040143381,0.961302744,25.84162563,39.6288655,1,6.01
S8B,S8B,44091,37757,37037,37338,36148,35702,Sep,4 (September),Clearwater_Mid,2 (Clearwater_Mid),Clear_B,Clear_B_1,1,115218,5.061520332,81.18,33.56,0.792236615,288,288,4.486404643,0.979109614,47.86890924,42.83313572,1,5.33
S9A,S9A,45150,39499,38748,39051,37350,36620,Sep,4 (September),Clearwater_Mid,2 (Clearwater_Mid),Clear_A,Clear_A_2,1,97426,4.988674872,81.94,33.72,0.684331934,242,242,3.756255367,0.950469103,20.18941816,34.76693322,1,5.22
